GTM	CMR	0	441.81
HUN	DNK	51	-8063.99
URY	ISR	13	13609.58
AUS	MUS	22	15536.82
HTI	CHN	20	11320.30
RWA	KAZ	0	260.92
DNK	TJK	0	-324.02
LIE	UKR	0	-644.10
ARE	SLE	1	11527.43
AFG	ITA	424	-987.58
CRB	AGO	0	63.23
GBR	IRL	13420	2682098.37
KHM	COD	2	789.22
THA	SAU	179	8497.09
KAZ	GMB	0	900.47
HTI	GRD	2	9992.85
TWN	MRT	0	271.10
MYS	NOR	38	15063.82
NIC	UKR	0	3161.17
IRN	VUT	0	7.43
NZL	GNQ	15	-1903.20
LTU	PRK	8	308.28
NER	SOM	29	-26869.44
GRC	UKR	161	36189.02
GAB	ZWE	4	1227.96
TON	WSM	34	11360.05
NOR	TCD	7	9410.66
WSM	CHL	0	366.36
TJK	POL	23	758.60
MLT	JOR	5	6093.92
VCT	IDN	0	682.87
GEO	SWE	0	127.20
BWA	SSD	9	13042.98
UGA	UGA	9721	-750637.15
CHE	BRB	2	2839.15
BWA	NLD	8	3626.06
AUT	NIC	0	-10.13
SEN	RUS	125	7137.64
KIR	SYR	1	-874.71
MDV	LUX	0	93.65
IND	MEA	376	-78459.93
ISR	PGS	12	3246.98
NOR	MYS	42	20742.75
BTN	MKD	0	161.81
TCD	VAT	2	-71.18
BRN	SEN	0	114.70
LSO	BRN	0	39.15
CHL	ZMB	0	1968.31
WST	SVK	28	18308.12
MOZ	GTM	2	-43.72
COG	ETH	33	3119.29
TUV	MLT	0	14.34
WST	GHA	1	23.37
CIV	UKR	2	871.73
AFG	JPN	206	-116898.97
SVK	MEX	5	1501.07
GRD	GUY	12	10760.45
POL	HTI	22	-45373.71
CAN	TGO	3	972.39
CUB	NGA	20	4094.83
DJI	ZAF	1	1544.52
BTN	ARG	0	261.83
HKG	IRQ	0	159.84
MEA	LBY	16	91884.30
KWT	SEN	0	9049.32
VCT	ALB	0	95.00
BRB	CAN	77	39688.75
HUN	CYM	0	291.31
